,state_mw,incar_rate_scaled,viol_crime_scaled,clusters,cluster
288,6.75,0.3477861871942878,0.23042121902108192,0,pink
289,0.0,0.5306336097419262,0.7711196318268776,1,purple
290,5.15,0.42408485896885395,0.2648612018674612,2,dark purple
291,0.0,0.31979847699403763,0.7624524179846048,1,purple
292,5.15,0.6742872763425112,0.5172839853912592,2,dark purple
293,5.15,0.19728923216462135,0.22630812600255013,2,dark purple
294,7.25,0.35502028185874224,0.14505343278869987,0,pink
295,5.15,0.40329014882445335,0.2837018109858036,2,dark purple
296,7.63,0.26309462264180183,0.3487133188173175,0,pink
297,5.15,0.2401469275355339,0.28117042966187,2,dark purple
298,5.7,0.40608253329992294,0.2861330518499017,2,dark purple
299,5.15,0.3951425664126873,0.2537844469770789,2,dark purple
300,0.0,0.5456744227558374,0.44891247525811195,1,purple
301,7.15,0.7536453194916248,0.6613234058022499,0,pink
302,6.75,0.5947540048509836,0.5180039443075657,0,pink
303,6.25,0.4682874772697687,0.5371107719838619,2,dark purple
304,7.5,0.46902578324079514,0.5240606144070625,0,pink
305,6.85,0.46623325906693935,0.3517627716064453,0,pink
306,7.65,0.5550052970647812,0.30114417895674706,0,pink
307,6.65,0.822189636528492,0.7053947541862726,0,pink
308,6.67,0.5215370561927557,0.7225699257105589,0,pink
309,5.15,0.5684381350874901,0.4915477242320776,2,dark purple
310,7.25,0.4252026788890362,0.27614408172667027,0,pink
311,5.15,0.4705209285020828,0.2561687957495451,2,dark purple
312,7.5,0.3517979523167014,0.5331860855221748,0,pink
313,5.15,0.3961521666496992,0.3358397167176008,2,dark purple
314,5.15,0.2908924361690879,0.30019618570804596,2,dark purple
315,2.65,0.31415740959346294,0.4585739690810442,1,purple
316,5.15,0.36223256029188633,0.290677254088223,2,dark purple
317,0.0,0.47659045085310936,0.7404493167996407,1,purple
318,6.75,0.16307232435792685,0.11881199898198247,0,pink
319,6.15,0.4126482643187046,0.6418795324862003,2,dark purple
320,7.5,0.1716499333269894,0.4416756797581911,0,pink
321,6.95,0.4987478721886873,0.5338160321116447,0,pink
322,5.25,0.1768501359038055,0.28963249642401934,2,dark purple
323,0.0,0.5988107994198799,0.2912855939939618,1,purple
324,6.5,0.5073306150734425,0.5607293918728828,0,pink
325,4.0,0.3036975162103772,0.3798045916482806,2,dark purple
326,5.15,0.24805995635688305,0.3112864913418889,2,dark purple
327,6.15,0.5188700743019581,0.7548583205789328,2,dark purple
328,5.15,0.20967787131667137,0.14409178402274847,2,dark purple
329,7.15,0.29189768247306347,0.32862380612641573,0,pink
330,5.15,0.32635924872010946,0.6757144350558519,2,dark purple
331,7.15,0.32510561868548393,0.414359662681818,0,pink
332,6.15,0.42202696204185486,0.4660727456212044,2,dark purple
333,5.15,0.21759690716862679,0.20993724465370178,2,dark purple
334,6.85,0.4351126030087471,0.3554486436769366,0,pink
335,2.0,0.6573381833732128,0.5040754098445177,1,purple
336,7.8,0.35685552284121513,0.2939328085631132,0,pink
337,6.25,0.3662089817225933,0.4166883882135153,2,dark purple
338,7.4,0.3540259785950184,0.22914791479706764,0,pink
339,0.0,0.53492640145123,0.7856689393520355,1,purple
340,5.15,0.41144718416035175,0.24189476389437914,2,dark purple
341,0.0,0.3129588905721903,0.754980044439435,1,purple
342,5.15,0.6633763201534748,0.5104253068566322,2,dark purple
343,5.15,0.1952497405000031,0.23993225768208504,2,dark purple
344,7.53,0.34060142934322357,0.12909374199807644,0,pink
345,5.15,0.42760130017995834,0.2727535320445895,2,dark purple
346,7.93,0.2614392666146159,0.33652710262686014,0,pink
347,5.85,0.27080050203949213,0.2768158446997404,2,dark purple
348,6.5,0.4077198915183544,0.2915217773988843,0,pink
349,5.15,0.3685710486024618,0.2570625161752105,2,dark purple
350,0.0,0.5440485663712025,0.45281965285539627,1,purple
351,7.15,0.7281146477907896,0.6520538590848446,0,pink
352,6.9,0.6069832015782595,0.48563270829617977,0,pink
353,6.25,0.4600072279572487,0.5130297504365444,2,dark purple
354,8.0,0.4654529970139265,0.5042051896452904,0,pink
355,7.02,0.4699100274592638,0.3538851160556078,0,pink
356,7.65,0.5685109179466963,0.30666172970086336,0,pink
357,7.15,0.7953342981636524,0.7086309138685465,0,pink
358,6.79,0.5449375137686729,0.6888567004352808,0,pink
359,5.15,0.5442948080599308,0.4888937808573246,2,dark purple
360,7.25,0.42345975525677204,0.2724736463278532,0,pink
361,5.85,0.46153864823281765,0.24149897508323193,2,dark purple
362,7.75,0.35246892366558313,0.5253626964986324,0,pink
363,5.85,0.41387579403817654,0.33755216281861067,2,dark purple
364,7.25,0.2905192319303751,0.28812128584831953,0,pink
365,2.65,0.305338716134429,0.41232858784496784,1,purple
366,5.85,0.35744025371968746,0.2972422633320093,2,dark purple
367,0.0,0.4728625062853098,0.6713754031807184,1,purple
368,7.0,0.15549323288723826,0.11941151460632682,0,pink
369,6.15,0.41076773777604103,0.6282486952841282,2,dark purple
370,8.0,0.17196147236973047,0.4637911915779114,0,pink
371,7.15,0.4872132558375597,0.5149438045918941,0,pink
372,5.25,0.17299463506788015,0.2653631614521146,2,dark purple
373,0.0,0.6089937407523394,0.3042927011847496,1,purple
374,6.65,0.5097938701510429,0.502418540418148,0,pink
375,4.0,0.3007938386872411,0.31144050881266594,2,dark purple
376,5.85,0.2506403485313058,0.3123191650956869,2,dark purple
377,6.33,0.4952374380081892,0.729683879762888,2,dark purple
378,6.5,0.21690079011023045,0.15610168920829892,0,pink
379,7.15,0.28602981474250555,0.32652432564646006,0,pink
380,6.5,0.3185416338965297,0.653461366891861,0,pink
381,7.15,0.3088613972067833,0.39786980487406254,0,pink
382,6.15,0.43325964361429214,0.4676107782870531,2,dark purple
383,5.85,0.21497129928320646,0.2246364252641797,2,dark purple
384,7.0,0.443012360483408,0.352048734202981,0,pink
385,2.0,0.6500179413706064,0.5314959213137627,1,purple
386,7.95,0.35727666690945625,0.26144704315811396,0,pink
387,7.15,0.3915079403668642,0.4100486636161804,0,pink
388,7.4,0.35582820419222116,0.2527626929804683,0,pink
389,0.0,0.528706656768918,0.7309701293706894,1,purple
390,5.85,0.41681486181914806,0.2769232261925936,2,dark purple
391,0.0,0.3118157619610429,0.7226679008454084,1,purple
392,5.85,0.6545696873217821,0.5080163478851318,2,dark purple
393,5.85,0.18754403572529554,0.2252940321341157,2,dark purple
394,7.68,0.3405926516279578,0.13746035983785987,0,pink
395,5.85,0.41941856034100056,0.2578294603154063,2,dark purple
396,8.07,0.2624433021992445,0.33420752733945847,0,pink
397,6.55,0.269831158220768,0.27589353267103434,0,pink
398,6.5,0.3959156107157469,0.2755346707999706,0,pink
399,5.15,0.31989908311516047,0.24968648795038462,2,dark purple
400,0.0,0.5785238929092884,0.4501022398471832,1,purple
401,7.15,0.7834232412278652,0.6333816796541214,0,pink
402,7.25,0.6146962288767099,0.42645460925996304,0,pink
403,6.25,0.46161036007106304,0.5158421117812395,2,dark purple
404,8.0,0.4567705560475588,0.4732849542051554,0,pink
405,7.28,0.4522614646703005,0.33876325469464064,0,pink
406,8.0,0.5382731556892395,0.3009418258443475,0,pink
407,7.15,0.7435133215039968,0.6454477552324533,0,pink
408,7.21,0.5468398798257113,0.612478144466877,0,pink
409,5.15,0.544682564213872,0.4280404653400183,2,dark purple
410,7.25,0.37431148812174797,0.27409358881413937,0,pink
411,6.55,0.4647428635507822,0.2461506985127926,0,pink
412,8.0,0.3498030127957463,0.49715698696672916,0,pink
413,6.55,0.4164335783571005,0.33402806147933006,0,pink
414,7.25,0.29635727405548096,0.2820946276187897,0,pink
415,2.65,0.30666107777506113,0.40656360797584057,1,purple
416,6.55,0.34732515923678875,0.2549770986661315,0,pink
417,0.0,0.442757410928607,0.6428653374314308,1,purple
418,7.25,0.15732371248304844,0.11985123855993152,0,pink
419,6.55,0.3871582681313157,0.5899663083255291,0,pink
420,8.0,0.1691946992650628,0.46261618845164776,0,pink
421,7.4,0.4561609588563442,0.49976292066276073,0,pink
422,5.25,0.18039525020867586,0.2444640500470996,2,dark purple
423,0.0,0.5830631125718355,0.2862808760255575,1,purple
424,7.05,0.5097050685435534,0.4929036367684603,0,pink
425,4.0,0.3164138179272413,0.28697759844362736,2,dark purple
426,6.55,0.24991387035697699,0.28937687166035175,0,pink
427,6.55,0.4755806177854538,0.7051986642181873,0,pink
428,7.25,0.22007059305906296,0.16042881179600954,0,pink
429,7.15,0.27693756856024265,0.31136670149862766,0,pink
430,7.5,0.32761581242084503,0.632392056286335,0,pink
431,7.15,0.2992561552673578,0.38436243776232004,0,pink
432,6.55,0.42781680822372437,0.4045034758746624,0,pink
433,6.55,0.22200096864253283,0.26637024711817503,0,pink
434,7.3,0.43995981104671955,0.33185635693371296,0,pink
435,2.0,0.6523643620312214,0.5033834837377071,1,purple
436,8.4,0.3590232925489545,0.26055655907839537,0,pink
437,7.15,0.4005230497568846,0.3822998143732548,0,pink
438,7.4,0.3240572288632393,0.2542705275118351,0,pink
439,0.0,0.5192664451897144,0.6752327550202608,1,purple
440,6.55,0.41729086078703403,0.21873919758945704,0,pink
441,0.0,0.31656918581575155,0.6659991573542356,1,purple
442,6.55,0.6397387944161892,0.49101170152425766,0,pink
443,6.55,0.18832337809726596,0.21540115121752024,0,pink
444,8.06,0.3570509608834982,0.13461785856634378,0,pink
445,6.55,0.3932083025574684,0.23082515690475702,0,pink
446,8.55,0.25892099365592003,0.3363046795129776,0,pink
447,7.25,0.2781659597530961,0.3052022308111191,0,pink
448,6.5,0.3936850465834141,0.25907312519848347,0,pink
449,5.15,0.3202454652637243,0.21974388509988785,2,dark purple
450,0.0,0.5714254453778267,0.3837296040728688,1,purple
451,7.75,0.7518070749938488,0.6353042554110289,0,pink
452,7.25,0.625744741410017,0.41364957578480244,0,pink
453,6.25,0.48576323315501213,0.5035275127738714,2,dark purple
454,8.0,0.43607084080576897,0.43958467431366444,0,pink
455,7.24,0.45074066147208214,0.3236924996599555,0,pink
456,8.25,0.5210183095186949,0.28200268279761076,0,pink
457,7.25,0.7088304962962866,0.6232551299035549,0,pink
458,7.25,0.5418127402663231,0.5412766244262457,0,pink
459,5.15,0.5435867700725794,0.40225875563919544,2,dark purple
460,7.25,0.388305657543242,0.2642737468704581,0,pink
